Stock,start_price,end_price,start_date,end_date,Sector,Years,CAGR
A2M,0.565,16.82,2015-03-31,2020-04-01,Consumer Staples,5.004791238877481,0.9700322253604783
AGL,8.2468,17.56,2010-01-04,2020-04-01,Utilities,10.239561943874058,0.07660394279709992
ALL,3.3104,21.78,2010-01-04,2020-04-01,Consumer Discretionary,10.239561943874058,0.2019974743164208
ALQ,2.544,6.15,2010-01-04,2020-04-01,Industrials,10.239561943874058,0.09003114528071188
ALU,0.189,28.68,2010-01-04,2020-04-01,Information Technology,10.239561943874058,0.633085236889668
ALX,0.4985,5.7,2010-01-25,2020-04-01,Industrials,10.182067077344286,0.27036572732186537
AMC,3.5116,13.51,2010-01-04,2020-04-01,Materials,10.239561943874058,0.1406332556537253
AMP,4.0735,1.41,2010-01-04,2020-04-01,Financials,10.239561943874058,-0.09842243974865428
ANN,8.2013,28.89,2010-01-04,2020-04-01,Healthcare,10.239561943874058,0.13085534365754414
ANZ,12.8671,17.05,2010-01-04,2020-04-01,Financials,10.239561943874058,0.027870430884058495
APA,1.9,10.51,2010-01-04,2020-04-01,Utilities,10.239561943874058,0.181808100293543
APT,2.7,20.66,2017-06-29,2020-04-01,Information Technology,2.757015742642026,1.0919527466687255
AST,0.4581,1.73,2010-01-04,2020-04-01,Utilities,10.239561943874058,0.13856662003285525
ASX,21.4438,80.5,2010-01-04,2020-04-01,Financials,10.239561943874058,0.13790326286633214
AWC,1.1882,1.455,2010-01-04,2020-04-01,Materials,10.239561943874058,0.019979690459338784
AZJ,1.8159,4.51,2010-11-22,2020-04-01,Industrials,9.357973990417522,0.10209500247469583
BEN,4.994,6.45,2010-01-04,2020-04-01,Financials,10.239561943874058,0.025300490273439946
BHP,26.5251,30.23,2010-01-04,2020-04-01,Materials,10.239561943874058,0.012850316650718119
BLD,3.753,2.29,2010-01-04,2020-04-01,Materials,10.239561943874058,-0.04709933326050464
BOQ,6.0142,5.08,2010-01-04,2020-04-01,Financials,10.239561943874058,-0.016351105142228595
BPT,0.7518,1.305,2010-01-04,2020-04-01,Energy,10.239561943874058,0.055335317477175794
BSL,14.7876,9.13,2010-01-04,2020-04-01,Materials,10.239561943874058,-0.046002409766495944
BXB,4.3637,11.19,2010-01-04,2020-04-01,Industrials,10.239561943874058,0.09632847215387996
CAR,3.8065,12.99,2010-01-04,2020-04-01,Communication Services,10.239561943874058,0.12735616669657324
CBA,30.4327,63.67,2010-01-04,2020-04-01,Financials,10.239561943874058,0.07475477384433837
CCL,7.1159,9.22,2010-01-04,2020-04-01,Consumer Staples,10.239561943874058,0.025620998694165786
